RLU	CFU	Strain
3.874138214	5.804100348	DC3000
4.097601015	5.942403046	DC3000
3.485624237	5.202040356	DC3000
4.201986066	6.4195243	DC3000
3.881581809	5.980191607	DC3000
3.907262412	5.804100348	DC3000
3.656504089	4.901010361	DC3000
2.534478816	4.105130343	DC3000_hrcC
2.406160339	4.223229655	DC3000_hrcC
2.884411099	4.329145155	DC3000_hrcC
2.513794217	4.074196629	DC3000_hrcC
2.320139668	4.068327695	DC3000_hrcC
2.728702649	4.193266432	DC3000_hrcC
2.795880017	4.158688935	DC3000_hrcC
2.529399291	4.168182089	DC3000_hrcC
5.317234678	7.001380906	SUPP1331
5.400697443	7.199863437	SUPP1331
5.587199595	7.325891997	SUPP1331
5.429927061	7.315983709	SUPP1331
5.563295876	7.068327695	SUPP1331
5.089798273	6.892236436	SUPP1331
5.394468412	7.158688935	SUPP1331
5.45032022	7.272078223	SUPP1331
2.40954008	4.161081749	SUPP1331_hrcC
2.720554296	4.221156647	SUPP1331_hrcC
2.4836418	4.144048409	SUPP1331_hrcC
2.367136231	4.153863392	SUPP1331_hrcC
2.582251598	4.088531081	SUPP1331_hrcC
2.363408358	4.053298705	SUPP1331_hrcC
2.202040356	3.901010361	SUPP1331_hrcC
2.202040356	4.034549269	SUPP1331_hrcC
4.138805354	5.820088453	DC3000
4.195476587	5.63340412	DC3000
3.640186993	5.457312861	DC3000
4.1389937	5.70035091	DC3000
4.162689477	5.787501086	DC3000
3.87930503	5.4195243	DC3000
4.938337238	6.004814082	DC3000
3.494019366	5.156282866	DC3000
2.392372054	4.031344129	DC3000_hrcC
2.105130343	3.85525287	DC3000_hrcC
2.546923636	4.011600071	DC3000_hrcC
2.684556643	3.946333339	DC3000_hrcC
2.448169482	3.969196222	DC3000_hrcC
2.162273229	3.930394138	DC3000_hrcC
2.454286407	3.901010361	DC3000_hrcC
2.352028813	3.976557322	DC3000_hrcC
4.52580794	6.011600071	SUPP1331
4.714924781	6.107836237	SUPP1331
4.490680763	5.980191607	SUPP1331
4.596054019	5.905331734	SUPP1331
4.648033538	6.056346398	SUPP1331
4.905654111	6.141559609	SUPP1331
5.458517563	6.304130882	SUPP1331
4.678980617	6.172851967	SUPP1331
2.276673975	4.247363335	SUPP1331_hrcC
2.526837074	4.227346222	SUPP1331_hrcC
2.031344129	3.887782095	SUPP1331_hrcC
2.156282866	3.946333339	SUPP1331_hrcC
2.340343054	4.156282866	SUPP1331_hrcC
2.253192879	4.044025161	SUPP1331_hrcC
2.062378363	3.845493033	SUPP1331_hrcC
2.340343054	3.92219966	SUPP1331_hrcC
