	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT1G01010	203	57	81	620	360	373	460	287	676	649	415	790
AT1G01020	205	149	209	306	286	250	490	254	251	201	213	252
AT1G03987	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01030	5	7	22	47	40	28	130	66	35	58	35	50
AT1G01040	295	70	225	281	178	272	319	177	308	509	277	334
AT1G03993	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01046	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01050	527	454	549	306	275	314	302	155	191	260	223	429
AT1G03997	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01060	68	43	78	65	68	50	64	48	69	53	50	82
AT1G01070	50	12	7	14	50	8	7	28	15	29	28	13
AT1G04003	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	604	513	607	72	130	173	41	71	72	344	163	155
AT1G01090	1545	858	1300	717	957	824	988	666	715	1255	450	1343
AT1G01100	11281	6240	8254	5500	8111	5344	5061	5212	6978	8007	4198	8303
AT1G01110	6	1	0	4	0	0	0	0	0	4	0	11
AT1G01120	1111	1122	728	222	355	537	251	416	363	498	302	503
AT1G01130	155	61	61	15	9	70	22	14	39	29	34	39
AT1G01140	386	254	453	158	195	275	102	223	131	252	113	162
AT1G01150	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01160	763	283	480	471	414	491	328	375	387	597	327	521
AT1G04007	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01170	611	377	391	128	135	186	102	113	86	426	112	189
AT1G04013	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01180	159	88	108	43	48	15	24	47	30	63	57	105
AT1G01183	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01190	4	5	43	10	6	32	7	0	2	19	0	16
AT1G01200	18	3	16	0	9	7	0	4	11	11	0	13
AT1G01210	188	59	76	47	67	101	48	37	75	92	61	53
AT1G04017	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01220	180	86	162	66	58	119	13	37	34	81	77	119
AT1G04023	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01225	25	5	10	7	1	11	0	0	18	3	9	5
AT1G01230	181	104	185	188	268	175	187	153	210	182	172	228
AT1G01240	583	470	771	355	224	408	96	135	144	329	178	326
AT1G01250	50	164	76	3	65	18	38	48	2	42	36	39
AT1G01260	37	12	36	112	148	59	166	255	196	111	76	127
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	72	73	73	109	40	77	55	16	50	55	25	59
AT1G01300	1500	517	1024	543	534	764	692	516	539	1062	344	728
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	0	0	0	0	0	0	10	0	16	0	0
AT1G01320	4843	1618	3782	1425	852	1862	999	638	727	2346	776	1805
AT1G01335	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01340	73	48	86	774	383	348	362	254	567	248	311	491
AT1G01350	108	165	129	197	104	192	141	204	121	240	115	223
AT1G01355	0	0	0	0	0	1	0	0	5	0	0	0
AT1G01360	121	93	162	90	41	68	108	83	99	81	56	132
AT1G01370	13	1	1	5	2	0	2	9	9	12	0	0
AT1G01380	20	22	8	1	31	8	1	2	9	32	12	10
AT1G01390	3	13	12	2	6	5	1	2	0	15	1	20
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	930	635	1157	452	511	1114	208	306	456	927	421	864
AT1G01430	890	296	671	103	55	125	111	92	60	224	33	123
AT1G01440	159	82	261	339	193	187	203	205	193	354	214	367
AT1G01448	61	13	46	10	20	20	5	11	28	31	24	25
AT1G01450	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01453	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01460	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01470	2110	2342	2219	1581	5306	3422	2714	5081	3263	8122	3028	3622
AT1G01480	3	2	7	176	206	42	421	334	661	235	239	173
AT1G01490	7142	2703	5483	4146	3702	4806	6125	6893	5605	4739	2265	3575
AT1G01500	483	193	662	558	316	271	256	158	448	253	204	386
