	DC3000 - mock	SUPP1331 - mock	delta - mock
AT1G01010	2.49797758892759	2.19288494188348	2.6542276763923
AT1G01030	2.77894165018623	1.93735678389717	2.20366198515112
AT1G01050	-1.08145675754018	-0.683047464495917	-0.712982547582095
AT1G01080	-3.01441289485737	-2.11141260547241	-1.55646660503571
AT1G01120	-1.26117521018017	-1.26527874622796	-1.11471344083063
AT1G01130	-1.43185582626483	-1.73794872539083	-1.26179561310721
AT1G01140	-1.16116070075938	-0.693093002404435	-1.1375077653312
AT1G01170	-1.96369384324418	-1.45361612093296	-1.11777871007275
AT1G01180	-1.62399243835783	-1.80811380824889	-0.576068003254166
AT1G01220	-2.16718292479111	-0.726454837616779	-0.568457078349723
AT1G01240	-2.06198244394465	-0.848168395387412	-1.15371434423452
AT1G01250	-2.51817226843984	-1.90943728086796	-1.00438425307711
AT1G01260	3.06562892296212	1.90973389184507	1.9298987122103
AT1G01320	-1.80214706242744	-1.15933906775644	-1.07694256911478
AT1G01340	2.76119383271839	2.7972739881153	2.39392366552186
AT1G01420	-1.26199613399319	-0.35723648002525	-0.350585346117202
AT1G01430	-2.61683520641945	-2.59863160900564	-2.48387431376512
AT1G01480	7.03248039355754	4.76353019526095	5.59409512158488
AT1G01560	3.86243915892106	4.67953234221305	4.78051617734259
AT1G01580	2.41906633477942	-0.357239621126903	0.96073818741238
AT1G01620	-1.08095602645345	-0.891960134162428	-0.87460373145096
AT1G01630	-0.719432169386982	-0.477709028640789	-1.09286977168368
AT1G01650	1.72758234495611	0.892372433795172	0.760135709108372
AT1G01680	4.72818573529813	4.15446571717217	4.29753440008178
AT1G01710	-0.576159832105436	-1.11663941303214	-1.69811442906241
AT1G01720	3.38024952698953	2.79462379336651	2.6189754944955
AT1G01725	1.88042030114844	2.27601905082327	1.61858837362196
AT1G01730	1.76040462216766	1.57457709217895	1.00529172209565
AT1G01770	-1.03581858244396	-1.34099722814262	-1.60185667916015
AT1G01780	-1.25751095731025	-0.618440363807884	-0.431545367570888
AT1G01790	-1.00812992427858	-1.23789158941736	-1.12980825119431
AT1G01860	-1.59001744996592	-1.52559001805767	-1.99272247427378
AT1G01950	-1.45071795635566	-0.286956563938652	-0.259437905871171
AT1G01970	-1.43472660940679	-1.25887002348423	-1.82179409724253
AT1G01990	1.32490095066156	0.825190393596346	0.487947994852723
AT1G02100	1.37016930206778	1.06470341899861	1.1893743814862
AT1G02145	-1.2214800920532	-0.606994506638102	-1.03298907330995
AT1G02150	-1.79335148540142	-1.67565396521535	-1.74989998171778
AT1G02170	1.69148652292053	1.75700597898454	1.99822482038822
AT1G02180	2.48470157664917	1.75096613632613	2.33729224687199
AT1G02205	1.7304289294721	0.722258431534007	1.00605284764665
AT1G02220	3.5985081235965	3.0675489660625	2.85503391649703
AT1G02230	3.82977415323932	3.69972243444411	3.43159721542766
AT1G02270	2.31830451078168	1.89276226416172	1.91062398423497
AT1G02300	-1.46098129582238	-0.866787214060475	-0.777756366450872
AT1G02360	0.424062739957331	0.635465457194067	1.21382927603841
AT1G02390	1.5139630983077	2.11326899836907	2.66763449438708
AT1G02400	1.5904584482268	1.32664137180671	1.45846596194045
AT1G02405	2.52870750696552	1.26531417389299	1.39958510754325
AT1G02450	3.62420618369927	4.16507452303683	4.26637770632145
AT1G02460	1.11167337928301	1.18857505883129	1.33371404189721
AT1G02500	1.70619969310034	1.42094294412522	1.3730220515528
AT1G02560	-0.855124273007951	-0.987065631097259	-1.33524457513932
AT1G02610	-1.63999997176198	-1.29131817110051	-1.23176207772405
AT1G02660	1.04827874169338	1.07944648659676	0.981564769201116
AT1G02720	-1.66273014936516	-1.02110466230293	-0.75782268265195
AT1G02730	-5.56141642140917	-1.14681037655131	-0.849067511559833
AT1G02740	1.57221028239741	1.39583093503383	1.35666374955
AT1G02750	1.13844808842594	0.954775421701027	1.01032607608425
AT1G02820	1.29897915588097	0.535023617751601	0.230538278497092
AT1G02850	2.57142524241301	0.399143084202081	1.05051652286216
AT1G02860	-2.6773732358824	-1.0861528536705	-1.23486450680244
AT1G02880	1.01061558305056	0.802113129673283	0.309864726155416
AT1G02910	-1.2848056576447	-0.692273954973356	-1.1258193084938
AT1G02920	2.12908022038408	3.30117751294576	3.60620548253894
AT1G02930	2.36218450254487	3.09218267309746	2.97399025736821
