	DC3000 - mock	SUPP1331 - mock	delta - mock
AT1G01180	-1.62399243835783	-1.80811380824889	-0.576068003254166
AT1G01580	2.41906633477942	-0.357239621126903	0.96073818741238
AT1G03020	1.85310344905341	-0.396585380490071	-1.43255230825616
AT1G03090	-3.38787994799574	-3.72967412922507	-1.45021588263322
AT1G03230	1.02727971897778	0.351579364449495	1.40699631960914
AT1G03770	5.06228268259631	4.65092775361528	3.03834519777471
AT1G03870	-4.61301998537011	-3.01103752127365	-4.81395993919783
AT1G05470	-4.96917496250584	-2.57790959492888	-1.33091827485082
AT1G05640	1.59363359825098	1.58041333026415	2.93751809622446
AT1G06265	-0.595161873672114	1.00048126679592	-3.87746761092609
AT1G07200	0.685293740949804	0.513053460658309	2.50563579183207
AT1G07260	5.1800070961798	2.37306529492958	0.358191079934535
AT1G07370	-2.53315423489169	-1.97019535412033	-0.886176662993423
AT1G08115	2.0047283984477	-0.0236338499251167	-1.10305451226673
AT1G08280	-4.29769804421636	-4.39983650015628	-1.23808889790137
AT1G09960	2.49169050742389	2.00227070967446	-0.127092999685792
AT1G10560	4.37177162882173	2.60182404876107	3.68606348634993
AT1G10850	-0.301263254557503	1.81825230993382	0.407764559963854
AT1G10910	-1.36908805885421	-2.04769945568198	-0.515664507654131
AT1G11185	4.88610071764915	3.10636093271797	-0.0715135379195335
AT1G11220	3.87129673564061	5.12418833650037	2.50950765830452
AT1G11540	3.41708163512431	4.42709118249241	0.594428094388334
AT1G11740	-6.14220889345125	-3.4609681949237	-5.28158266404012
AT1G12060	-2.69422651311075	-1.63909550228004	-3.43917916648457
AT1G12244	-3.74713018734838	-6.35378653280164	-3.5486913899828
AT1G12280	-2.64953316488588	-1.33696028282207	-3.18463260643598
AT1G12620	-2.93605274707542	-2.18759887997484	-0.677367317260917
AT1G13420	2.77602003208424	2.09461340699517	-0.601963191859407
AT1G13790	-1.30791962829615	-2.05065858220101	-0.315512914774606
AT1G13830	3.44895951914199	3.66186060497668	1.61874654530002
AT1G14260	1.40386266852823	2.44364486895083	1.34642353325368
AT1G14600	-3.9251279087172	-3.08065277934067	-1.24928487397078
AT1G14900	-2.02344412276342	-1.66774158724221	-0.461245037287386
AT1G15080	-3.52555040687335	-0.169245663754115	-2.42216355372738
AT1G15580	-0.743327319806035	-2.64715714063551	-1.19802068028569
AT1G16820	-3.67596123110888	-1.45819185752816	-0.305523164128799
AT1G17090	-2.91039001034515	0.43256916745816	-0.664155269848521
AT1G17410	1.09502150903176	1.0911792245172	-0.0355153725607014
AT1G17760	-0.592519542568205	-1.0500435124037	-2.5262506031936
AT1G18400	-4.86465315444811	-4.99072059805722	-3.05046588094998
AT1G18710	1.48514190610187	0.344674341018209	-0.744179321140685
AT1G18773	-0.854104953094265	-1.45114817708717	-0.266743462715053
AT1G19190	-1.87455397335507	1.71153501407983	2.72046811292165
AT1G19940	-3.07057311246993	-0.712534716263254	-2.49834574937955
AT1G19950	-1.96023074410728	-0.677357692059346	-2.70329868894223
