	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT1G01010	3.61110517278745	2.62818848025301	2.56916774035138	5.84170077272563	4.81305308517193	4.91222318518285	5.4612239680204	4.80193077630324	5.79953220209592	5.28838313252445	5.5264029007342	5.81532259747589
AT1G01020	3.62521477220288	4.00670010350674	3.93124601981966	4.82415663628606	4.48158896468801	4.33592554558882	5.5522759481483	4.6260344765472	4.37200066792491	3.59983344560453	4.56579049358434	4.16884052275668
AT1G01030	-1.5983481928415	-0.31041097508285	0.71229268244998	2.13426898092622	1.65904763881573	1.20014876655836	3.64207261849895	2.6897950659727	1.54733319762406	1.81556213665997	1.97744535346853	1.84691242786932
AT1G01040	4.14923450869873	2.92224978170742	4.03742320937569	4.7014044846755	3.79897789996021	4.4573711720579	4.93383874287606	4.10618784486355	4.6667127572688	4.93813575324238	4.94404219520132	4.57456334575898
AT1G01050	4.98524747211575	5.61083491350274	5.32241525706954	4.82415663628606	4.42510614450227	4.6641749592729	4.85495795409102	3.91528340060211	3.97878666004434	3.97033697935508	4.63182925514717	4.93521526625598
AT1G01060	2.04025227148173	2.22564192515736	2.51506033501193	2.59783637413272	2.41722971889164	2.02547023514541	2.62539387735232	2.23442547265863	2.51652715084289	1.68666440347771	2.48590971671565	2.55502315936334
AT1G01070	1.600431671273	0.426554619083356	-0.872669818271176	0.422394367722846	1.9774091186829	-0.545278406356045	-0.478942782462419	1.46740264463625	0.351782388506255	0.827840466438408	1.66058824812859	-0.0564115527190106
AT1G01080	5.18181871777032	5.78691889562683	5.46718018461345	2.74432246261021	3.34710363250099	3.80605060497188	1.98920605327599	2.7943839672499	2.57749516813431	4.37355758978086	4.18084505946193	3.46947171524812
AT1G01090	6.53607812737942	6.52837275331076	6.5652902700633	6.05124839415832	6.22232631274343	6.05463443583108	6.56326377765827	6.01497369556048	5.88039403484605	6.23924373034807	5.64308152977739	6.58048155113069
AT1G01100	9.40389147079745	9.39014433899123	9.23140470017082	8.98976042402809	9.30495064668294	8.75109802124807	8.91951590452801	8.9822723936909	9.16628733114752	8.91233359473861	8.86335650625792	9.2082048033841
AT1G01120	6.06051242154819	6.91519815893714	5.72922474818482	4.36207489844903	4.79290338555052	5.43737969687044	4.58858121173459	5.33668531583705	4.90339763203897	4.90664711147476	5.06848956612581	5.16454891312431
AT1G01130	3.2229909586518	2.72521293464787	2.16295409145955	0.518609682982149	-0.432874850625305	2.50681010479241	1.10601971825874	0.492493625599079	1.70136682629648	0.827840466438408	1.93622269074202	1.49248169329462
AT1G01140	4.53654479244605	4.77422027538433	5.04539832664883	3.87275240273468	3.93022243323846	4.47316726096477	3.29364672143451	4.43864365165482	3.43650506741168	3.92533699471572	3.65424672125477	3.53299685303334
AT1G01160	5.51870453531805	4.92990335425086	5.12883220689406	5.44552733327037	5.01442592742686	5.3083063587342	4.97391618225139	5.18718172798578	4.99563857828098	5.16799231994468	5.18304933038866	5.21522438763729
AT1G01170	5.19842887704859	5.34303126352107	4.83330808341135	3.57003792178915	3.40134667728498	3.91029057264885	3.29364672143451	3.46106111776242	2.8322143057561	4.68159934839486	3.64147942518089	3.75475498328861
AT1G01180	3.25963280228607	3.25030397939163	2.98199081856478	2.007356868444	1.91911047811824	0.321455062780491	1.22887646604427	2.20436823880245	1.32832341568227	1.93388210384873	2.67318828490823	2.90980013382471
AT1G01190	-1.88785481003649	-0.757869952054072	1.66338308196903	-0.0432692046259664	-0.980362645927798	1.38962656542207	-0.478942782462419	-4.36548736952849	-2.28048582699326	0.230599635938815	-4.17230176603615	0.233095064475974
AT1G01210	3.50064090178986	2.67751619261657	2.47782742881296	2.13426898092622	2.39601323298194	3.03259466957879	2.21407946411619	1.86333132096739	2.63599081744446	2.47657887759288	2.77021273930309	1.93016793151867
AT1G01220	3.43807521540837	3.21732665694536	3.56473549403612	2.61969580809646	2.18956235551451	3.26812556037436	0.369054124092531	1.86333132096739	1.50611053489755	2.29392557130764	3.10382263923809	3.08956775309827
AT1G01230	3.44604592651695	3.49005756138951	3.75571496274111	4.12283408586394	4.38797591391652	3.82258597269818	4.16491340731231	3.89660747584169	4.11526250118578	3.45695007084395	4.25815078562938	4.02475130017559
AT1G01240	5.13080903422855	5.66074934203717	5.81196193269104	5.03811912221469	4.12976927067226	5.0414510205393	3.20662365919714	3.71666167182538	3.57251176062006	4.30933207208462	4.30747849799295	4.53964012666395
AT1G01250	1.600431671273	4.14464220304387	2.47782742881296	-1.62823170534712	2.35262063746856	0.576712118022565	1.88095316262396	2.23442547265863	-2.28048582699326	1.35458835321427	2.01752279284387	1.49248169329462
AT1G01260	1.17103887901708	0.426554619083356	1.41026414500032	3.37819456381231	3.53351675673188	2.26207651570156	3.99354498900032	4.63169211140913	4.01597158037799	2.74609731699687	3.0850860766565	3.18305438197638
AT1G01290	2.12212927853613	2.982370774145	2.42011193095667	3.33920043219645	1.65904763881573	2.64338315766785	2.40858248827917	0.67890674982996	2.05579756087117	1.73961328342667	1.50012357593535	2.08351870842546
AT1G01300	6.49344779211949	5.79811348169532	6.22114385513155	5.65054959762258	5.3812437736516	5.94563144375442	6.04983688286561	5.64713716933657	5.4730652276074	5.99844454298899	5.25605840666814	5.69748610718203
AT1G01320	8.18405441485634	7.4431400795178	8.1055639532244	7.04166569653323	6.05475365984264	7.2302834626305	6.57922937867369	5.95305544017423	5.90438951591503	7.14149216210483	6.42854034835115	7.00688365006616
AT1G01340	2.14189253335756	2.38261127149576	2.65506781375703	6.16153480138484	4.90228040343404	4.81227359826204	5.11600380683136	4.6260344765472	5.54606266029766	3.90229945863885	5.11078658698785	5.1297485514581
AT1G01350	2.70377142096568	4.15338583611585	3.23724787380686	4.19012221565974	3.02655676801199	3.95597338797588	3.75882486476094	4.31046966341326	3.32239858172516	3.85509050084661	3.67944727537991	3.99283196630084
AT1G01360	2.86703269212698	3.32959288919627	3.56473549403612	3.06425925967848	1.69423706727803	2.46529083535414	3.37571785437354	3.01821692294556	3.03421069866303	2.29392557130764	2.64787719637904	3.23854949456808
AT1G01380	0.299772193139284	1.27455152563831	-0.692097572629355	-2.85062412668357	1.29647755943103	-0.545278406356045	-2.80087087734978	-2.04355927464113	-0.354486408437035	0.967565230105022	0.471554423738576	-0.418981632103719
AT1G01420	5.80408252858035	6.09444674431359	6.3972360642679	5.38618735456584	5.31778806567644	6.48943965365337	4.31807019537373	4.89425589416229	5.2320571281036	5.80240088858473	5.54708705490593	5.9444230987598
