	DC3000	delta	mock	SUPP1331
AT1G01010	5.43428154471488	5.5905316321796	2.9363039557873	5.12918889767078
AT1G01020	4.79239402726542	4.13253270287725	3.85236881367267	4.51833492469364
AT1G01030	2.44507550929431	1.86979584425921	-0.333866140891914	1.60349064300525
AT1G01040	4.60073725650627	4.78173346444414	3.78311415217434	4.28611122661024
AT1G01050	4.22323308294457	4.59170729290265	5.30468984048475	4.62164237598883
AT1G01060	2.47720365479419	2.28275315645126	2.28227655301955	2.31453052514369
AT1G01070	0.390727461823822	0.634883414033856	0.301976254228276	0.627676357364176
AT1G01080	2.46088302345204	3.9188293132737	5.47529591830941	3.363883312837
AT1G01090	6.12342037425935	6.18913252485847	6.5455294643946	6.11281216109016
AT1G01100	9.04170996188861	9.02015863653106	9.33043287158572	9.01145162365337
AT1G01120	4.9222166808533	5.06867845020284	6.18339189103347	4.91811314480551
AT1G01130	1.22902889655481	1.39908910971244	2.66088472281965	0.922935997428815
AT1G01140	3.65123398007225	3.67488691550043	4.81239468083163	4.11930167842719
AT1G01160	5.03936945737002	5.19308601546994	5.18947125120661	5.24140283145852
AT1G01170	3.12732813833135	3.97324327150278	5.09102198157553	3.63740586064257
AT1G01180	1.51769931153301	2.56562374663668	3.14169174989084	1.33357794164195
AT1G01190	-2.28279273063673	-0.952816827997479	-0.14938790358513	0.156123863022397
AT1G01210	2.31946817636941	2.30473967755343	2.87355398386323	2.57043295938355
AT1G01220	1.26733449367981	2.8660603401212	3.43451741847092	2.70806258085414
AT1G01230	4.07354327145582	3.93842210566934	3.58592303358732	4.10514346236046
AT1G01240	3.50148558886293	4.40975368857307	5.56346803280758	4.71529963742017
AT1G01250	0.0653204424740969	1.57910845783682	2.58349271091394	0.674055430045976
AT1G01260	4.16851295102975	3.03278274027793	1.10288402806763	3.01261791991269
AT1G01290	1.81457027260104	1.83709508117025	2.45193787495866	2.46048051185798
AT1G01300	5.69373780592754	5.63101554835124	6.17457185706711	5.66556435790191
AT1G01320	6.12219638951825	6.84740088283092	7.92434345194569	6.76500438418925
AT1G01340	5.17448537059993	4.80721520340339	2.41329153788153	5.21056552599683
AT1G01350	3.70525517130286	3.86583375932621	3.29342666845129	3.68169747296377
AT1G01360	3.13030145513833	2.81180303282959	3.27394919500043	2.33492273384317
AT1G01380	-1.50410682172233	0.219724841389921	0.118079546662081	-0.463299624004079
AT1G01420	4.86917616387838	5.78058695175437	6.13117229787158	5.77393581784633
AT1G01430	2.85287860887698	2.98583950153132	5.46971381529644	2.87108220629079
AT1G01440	4.16355173698676	4.59155488195852	3.64247646793254	4.19633523548991
AT1G01448	0.334033460485209	1.0212239405662	1.52978594555567	0.51303760269694
AT1G01470	8.28864459445393	8.36262294884749	7.43065393278223	8.05910188371853
AT1G01480	5.43923295240175	4.00084768042909	-1.59324744115579	3.17028275410516
AT1G01490	9.09856151788213	8.02560966932567	8.52962408108956	8.44476524108668
AT1G01500	4.70052799492858	4.47536142416832	5.02160727164797	4.84711962687249
AT1G01510	4.30356274051129	4.64226179330537	4.88309961986038	4.83610791166338
AT1G01540	3.84222289760612	4.09776741283185	4.013121325593	4.19805442558861
AT1G01550	7.40470747070024	7.17224501618003	6.79180940824636	7.49725814314974
