	DC3000	delta	mock	SUPP1331
AT1G01010	0.2442606458534	0.226567245845818	0.339494290320518	0.285573573753905
AT1G01020	0.233156463279849	0.237667524457934	0.245517567300502	0.27436575193935
AT1G01030	0.368968334667467	0.398736893979901	0.784555253502375	0.540146140033846
AT1G01040	0.244395159690945	0.222370454689285	0.25727171332065	0.28922265213792
AT1G01050	0.245380078417992	0.21541233878859	0.196321388760721	0.260919942567395
AT1G01060	0.187827139050238	0.176369491361655	0.174343944079611	0.21822705471521
AT1G01070	0.689359712689176	0.546563899555275	0.629062712965416	0.716496881689579
AT1G01080	0.34013589881064	0.217895781485844	0.176688117922647	0.299973326760918
AT1G01090	0.18616421365639	0.175177437622257	0.169325760724268	0.213038712567897
AT1G01100	0.106501731409386	0.101018820680326	0.0988153224344628	0.122387599148648
AT1G01120	0.272777115922415	0.251473047750818	0.227640681685476	0.310229089551453
AT1G01130	0.542572468435388	0.434018500627316	0.298814170702911	0.656860003053822
AT1G01140	0.223902064290455	0.205371868365814	0.168866219267537	0.231093932825563
AT1G01160	0.11101321603918	0.102518724627163	0.100937986526581	0.123799466030754
AT1G01170	0.263873248613452	0.203973477587515	0.171218575922791	0.263946170800161
AT1G01180	0.369390605090301	0.237037073835418	0.201945130278615	0.43463159309071
AT1G01190	1.6669402229491	1.19147526377636	0.846855449596314	0.990061712818387
AT1G01210	0.307878661387885	0.272241850234837	0.233592223337814	0.317032929701408
AT1G01220	0.409287401085158	0.219810292569955	0.191155106971535	0.285073283170798
AT1G01230	0.153071505450939	0.143824465468153	0.151658099198951	0.171553746686791
AT1G01240	0.243360102358811	0.189907031496459	0.165208227711362	0.221140200523535
AT1G01250	1.29154762836599	0.716776004093993	0.504298323751295	1.28428864338995
AT1G01260	0.194063770136447	0.225125883882328	0.40465152319201	0.278749362545462
AT1G01290	0.403000043238451	0.357688347767706	0.282709457877152	0.358557034820029
AT1G01300	0.188821581979763	0.178778688415101	0.169925479465059	0.215990179766978
AT1G01320	0.266130593479698	0.242602045502725	0.230212483092584	0.294803508191213
AT1G01340	0.301586063288411	0.292909906286813	0.462870976362064	0.341404611806073
AT1G01350	0.296643718236989	0.26609052766713	0.28674472372463	0.334902122887794
AT1G01360	0.243296916653267	0.239725283061054	0.209144984855327	0.334481246976876
AT1G01380	0.991570059521562	0.549611040117488	0.538142471360203	0.855557836969862
AT1G01420	0.263417133191393	0.227429295969415	0.218968212921052	0.275731737453165
AT1G01430	0.416698654927518	0.380059532021104	0.244924996806107	0.463766299947221
AT1G01440	0.244705345044131	0.21281629550847	0.245015774786573	0.273989200301467
AT1G01448	0.48311931899335	0.330391795587471	0.28845129126021	0.501912710517573
AT1G01470	0.30256552622762	0.286161102198914	0.289968291782118	0.34966232952009
AT1G01480	0.304262095400502	0.337830846620841	1.60803455607347	0.493605586675805
AT1G01490	0.135910232511698	0.132577151664225	0.128860110100473	0.158700764832815
AT1G01500	0.343379799190179	0.328760039272208	0.303876768627622	0.380765848901663
AT1G01510	0.270837652865916	0.239800586031307	0.229038617830184	0.283198353717284
AT1G01540	0.115810873181761	0.102077488460684	0.101410475779439	0.122493765858617
AT1G01550	0.160437879387675	0.153120186593598	0.153145834073023	0.183382432723895
AT1G01560	0.293751188913624	0.268544299040508	0.442588974366077	0.326424045478641
AT1G01580	0.478291818911797	0.763387511189289	0.903669281832109	1.25701224437127
AT1G01600	0.835024814207592	0.801794796043569	1.49546498994439	1.6329948171585
AT1G01610	0.158637983233466	0.149238171534594	0.146002302716906	0.182534954526043
AT1G01620	0.13830822232354	0.129775837011769	0.12427422120932	0.157361830728556
AT1G01630	0.26129852279735	0.263488162778142	0.19158478095486	0.273823329122118
AT1G01640	0.452390539110686	0.3581929064772	0.349758655763923	0.354286582680772
AT1G01650	0.133158122494008	0.140982249229614	0.157292198866743	0.167962928891475
AT1G01660	0.315430451651261	0.299055100816551	0.350573964535848	0.369131126251994
AT1G01670	0.730786299583766	0.457142042724693	0.475131206128956	0.515840635802684
AT1G01680	0.279221259635491	0.268061876009744	0.405009713919837	0.326466389958028
AT1G01690	0.607141106703791	0.52969436506623	0.754212087095252	0.559422870768957
AT1G01710	0.166980957903172	0.206557576384823	0.132379427026732	0.213694535204139
AT1G01720	0.211084761172289	0.212360559907615	0.338723249472081	0.253200359666972
AT1G01725	0.626623631779914	0.622772185064579	0.927421177708856	0.620941311232032
AT1G01730	0.199931936917539	0.209421473095809	0.257530215785895	0.232421030808106
AT1G01740	0.448576770353628	0.315805393407881	0.510894823308567	0.658980536592924
AT1G04053	0.690033295568593	0.651560956124674	0.410207612269829	0.690356382428327
AT1G01770	0.496494010025799	0.544490702245058	0.322918592393558	0.601865550084917
AT1G01780	0.342777797835821	0.274501008209688	0.254533670805755	0.34100504760248
AT1G01790	0.273005767125992	0.259484431808655	0.231145026279983	0.318413697562614
AT1G01800	0.159443065652343	0.144922435429196	0.138177843203837	0.172040839622572
AT1G01820	0.122446305497237	0.119321105994231	0.11852468183762	0.143729064184217
AT1G01830	0.249702689406641	0.190629659243024	0.191708204201901	0.249038671471216
AT1G01860	0.283878062326505	0.288511150164506	0.165644801756861	0.307634903086518
AT1G01900	0.80804013189272	1.01327070954071	0.89804704004822	1.37074664624469
AT1G01910	0.154444415474936	0.150258517652622	0.150065942250804	0.18230449297017
AT1G01920	0.276856955322865	0.256932511035524	0.291921193749957	0.381352027305631
AT1G01930	0.312683507845317	0.227586917133179	0.212295068027523	0.286516977240143
AT1G01940	0.403164085740307	0.390228580844849	0.47040440470695	0.441059000747969
AT1G01950	0.357438739570448	0.221663739100396	0.196988842420435	0.271918627318059
AT1G01960	0.340405502575309	0.313444749304069	0.30959687257459	0.376552296638633
AT1G01970	0.340440720167236	0.359636079855895	0.226658009799787	0.365886619415791
AT1G01990	0.163818192067313	0.175477872489015	0.189416041564035	0.200465363499454
AT1G02000	0.239101738309442	0.219921990798286	0.205201560066478	0.269209701224587
AT1G02010	0.346093202394361	0.246382077513534	0.233814436881222	0.396889458341269
AT1G02020	0.407002228354789	0.38330612300866	0.349341980046684	0.45755824234261
AT1G02050	0.650724198876999	0.409504976046181	0.429998865734725	0.426227002808012
AT1G02080	0.18913633837802	0.181882850478193	0.183754993110602	0.220106816374576
AT1G02090	0.149593155977972	0.14404212801684	0.147102910497825	0.17267583976805
AT1G02100	0.138234269161548	0.131823180337031	0.14280340535628	0.160964332857412
AT1G02110	0.286037866179764	0.256492169670142	0.252923050731981	0.33880320354424
AT1G02120	0.161059811386729	0.152753954059098	0.159864431759886	0.185849898344349
AT1G02130	0.124304281057168	0.118100021291195	0.117703203349824	0.143953999429759
AT1G02140	0.15294888196908	0.142848202867598	0.144168446735778	0.175739285774049
AT1G02145	0.436366112403694	0.370204456140823	0.287943356805939	0.404237828669129
AT1G02150	0.273454203396444	0.250323176695056	0.206215174810981	0.301753930221719
AT1G02160	0.176296232019978	0.165841975579741	0.155834231516907	0.205889557282677
AT1G02170	0.148268878608856	0.138152279160902	0.156573348363464	0.169161645272243
AT1G02180	0.364118583076756	0.333760364143959	0.621151884695308	0.502635883637399
AT1G02205	0.36848172748448	0.38960484006956	0.469977901319236	0.516927987141024
AT1G02220	0.304120479426465	0.328945661057431	0.756361530492967	0.386656162451496
AT1G02230	0.188551601519412	0.188308278109517	0.520816647338962	0.216595210874191
AT1G02260	0.542465307013825	0.406756401017822	0.44822206114741	0.558479654378248
AT1G02270	0.157240122062765	0.151152341878789	0.169832676141245	0.183324561503222
AT1G02280	0.161776636843662	0.141681297746827	0.137444106769712	0.174338572690828
AT1G02290	0.510898451610618	0.744690736680202	0.533719385233232	0.814205907277578
AT1G02300	0.191073941765286	0.150046718577526	0.129303326926155	0.185762777860684
AT1G02305	0.217110411092289	0.19790285131178	0.190721464650374	0.246061088188002
AT1G02330	0.189217101959242	0.200029563916068	0.164724693243747	0.231344458614228
AT1G02335	0.626417672034448	0.538084788357252	0.596257239573696	0.609190434078291
